Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8839099337568814,0.03637361640482594,0.9365565779824113,0.06212907367507206,0.9527000926854889,0.01336421791764286,0.8396452298616623,0.04215776489541807
2,0.7658747324030382,0.05355658580485558,0.7383005319552157,0.06987141656269268,0.9636726098380587,0.018466677122048622,0.8050437891473257,0.08740540306769198
3,0.8903504871929545,0.06768456475575914,0.8767720057720056,0.07000102633506076,0.9842206299036601,0.011846882381248546,0.9057194156418295,0.07323955175532182
4,0.89600233228778,0.030845595105275354,0.8747957907245834,0.048634919647223496,0.9901252815538653,0.008017607442437924,0.9221787802840435,0.054129175056810794
5,0.9315344723668749,0.04226460092859435,0.9493539886039886,0.058689834871591934,0.9856699682568582,0.007895236023665158,0.9162337399341363,0.04329228242633576
6,0.8388062185793583,0.07023292072423089,0.8182901210603459,0.10367172208532681,0.9856243249756241,0.008948672477878335,0.8672223450783821,0.05547392717119951
7,0.9344778169593386,0.04647530395182098,0.9345776962688725,0.05587008080058091,0.9928294737985963,0.005328402369955105,0.9367064340887872,0.05801390130170736
