Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8866966460750003,0.037590849963929,0.9447943270084602,0.05104397108829544,0.9511356859671561,0.014359894280686162,0.8369631789863348,0.04428516993022257
2,0.7574123412746656,0.06578065381864401,0.6837687410260673,0.09049841665393919,0.9767765457223276,0.012660219991950605,0.8596837761342615,0.06652625974979158
3,0.9099831935698667,0.04485278499972774,0.8740889249639249,0.06802853153917732,0.9924729188732575,0.006444357387721625,0.9521749829118251,0.040126124963471836
4,0.8886188697084577,0.050885087984805184,0.8384505716162062,0.06818796062870615,0.9940824430346945,0.006869688635655111,0.9493055555555555,0.057249353061199965
5,0.9189511761293456,0.049923449574745975,0.9558782051282051,0.049427026431038676,0.9810969579639005,0.010832726217286108,0.8866340847955303,0.06328692743376839
6,0.8747192883501397,0.048172846127439856,0.8951958861347743,0.08960747861555395,0.9844873543038404,0.009759071321621052,0.864734811971654,0.07291569173924373
7,0.9103975163930235,0.04743598254792427,0.9795833333333335,0.03387323181117109,0.9781981082251681,0.008728534344128097,0.8524805064999967,0.06789333881777207
