Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8622572479918181,0.048561182173724675,0.9371414436949019,0.05848698064109955,0.9369158809402123,0.022452898407897194,0.8008527037382093,0.05679563125445323
2,0.8085145512705143,0.048856744944011286,0.759849946526111,0.06610930482957554,0.976025036061918,0.013305906735773696,0.8691038006111537,0.06350943717357752
3,0.85088922397569,0.06295929202230484,0.8595685425685424,0.053801408955570985,0.9725841225088931,0.010128385946802371,0.8438758919570931,0.07914153163457333
4,0.8698087754539368,0.06513832474539383,0.8178691939295655,0.08786597591202329,0.9928053262674876,0.008000053444114976,0.9354021082117058,0.06706640156574574
5,0.9190341788092532,0.039113908295398854,0.9477336182336182,0.058925794602079376,0.9823822660067542,0.008207329300493546,0.8948629305761792,0.04625035126016541
6,0.8285792109507281,0.06060195972524556,0.7778095097794923,0.11204719225020167,0.9902716781616269,0.006742326759547446,0.9028026797763641,0.04934027779984292
7,0.9310367323554605,0.042824967157588774,0.9345776962688725,0.05587008080058091,0.9914935877668226,0.007169611105420362,0.9306309471526862,0.057111681573598055
