Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8482134631097621,0.03839049275539439,0.8615225477495084,0.06270058553873305,0.9554806824718194,0.0113181897708818,0.8378612732415289,0.03564478489450771
2,0.7400618564170353,0.06954880250782187,0.7323335145207147,0.06537668352495955,0.9525524627436415,0.019525985217409905,0.754101512186695,0.10238808010207706
3,0.8734167750795271,0.05992537597699755,0.857917748917749,0.04113021026126362,0.981526467950505,0.014695393517544187,0.8922161319341763,0.08869878196377734
4,0.8464455451077887,0.047005630859675955,0.8329018513306441,0.05258721281050681,0.9828989523361342,0.008943613755816171,0.863997962821492,0.07031213145018596
5,0.9120253106797357,0.04185618488018456,0.9344094663506428,0.05168777847519855,0.9823893846633526,0.0075585604373343065,0.8923367313326744,0.048550980437509036
6,0.8108655348968898,0.05926261769835617,0.8057473423511923,0.09775833763637298,0.9812546447417894,0.012711834791399718,0.8316806722689076,0.09564512007453686
7,0.9343557394256502,0.028475011732418395,0.9542094017094017,0.05042481976121392,0.9894515691630048,0.006628513855868912,0.920294541292253,0.06016898821405666
