Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8730390390707516,0.028404218237812254,0.9402480529981748,0.03788292346176893,0.9437544442073731,0.01598785859376195,0.8169288721651412,0.04623472714561667
2,0.8006660954761518,0.042147881657801395,0.7631855465657784,0.06568082467794673,0.9727429075260199,0.012268168567686063,0.8480690551851142,0.05848958732064981
3,0.8465834985526705,0.04998768367448184,0.7879415584415584,0.082398153116898,0.9867798444309728,0.010424415766355152,0.924161817415138,0.06196980176218866
4,0.837770511297613,0.07219668128669134,0.7810445565786124,0.09949827262565578,0.9901339859057421,0.006058909453620289,0.9094394700586653,0.051481647040890074
5,0.8700730498084035,0.057357492338318695,0.9353787138787139,0.06789141039756179,0.9676659042689326,0.017005160458907712,0.8199697293447293,0.08556749224800575
6,0.809613726239666,0.07942941647443247,0.7863122846552648,0.10792935369077594,0.9837891544788115,0.012927387923028959,0.8474866963102257,0.10427000633631939
7,0.901692014494446,0.06490880131257426,0.9393118972530736,0.05776995825357376,0.9821544405872927,0.008312033389729058,0.8688511096746391,0.08111786320843226
