Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8681794279303512,0.03971299979434197,0.9140240060961304,0.06349579459919916,0.9504558297282811,0.009187600423993122,0.8288190129438601,0.038404807436421405
2,0.7224161717021571,0.05104868425255368,0.71759281230404,0.04537413157893722,0.9475422330783203,0.01842525447210686,0.7326481125011436,0.08339480712851155
3,0.8520452629789006,0.06527016992800798,0.8216621572871574,0.05725992223270486,0.9814470707689568,0.012158862103867383,0.8862807570781708,0.08201201310040417
4,0.8452517798017306,0.05110583894070401,0.8320313372557955,0.06320476629432636,0.9829302861767765,0.009357910221298827,0.8635779574294178,0.07238337558795184
5,0.8898101694014601,0.04681608258632162,0.9098742368742367,0.07409927106816803,0.9789652644081597,0.011780633319128373,0.8757031020703682,0.056117777112582284
6,0.8121861045781642,0.08414937227328619,0.7806556023058916,0.11961945024988499,0.9850095752346132,0.009888448187951523,0.8553048911872441,0.07217739750017685
7,0.909276830172488,0.03345843942589284,0.9154537646449411,0.05239392171729826,0.9874330422946779,0.009516874484408572,0.9086044804868335,0.06561882072653581
