Class,NN,SVM,RF,QDA,KNN,LR
Class 1,0.964 ± 0.021,0.961 ± 0.015,0.959 ± 0.018,0.965 ± 0.016,0.947 ± 0.017,0.959 ± 0.017
Class 2,0.956 ± 0.017,0.970 ± 0.021,0.980 ± 0.015,0.981 ± 0.011,0.982 ± 0.014,0.957 ± 0.027
Class 3,0.985 ± 0.010,0.987 ± 0.011,0.971 ± 0.018,0.995 ± 0.007,0.996 ± 0.007,0.982 ± 0.012
Class 4,0.983 ± 0.009,0.985 ± 0.011,0.982 ± 0.007,0.993 ± 0.008,0.988 ± 0.011,0.975 ± 0.020
Class 5,0.976 ± 0.015,0.984 ± 0.013,0.986 ± 0.014,0.978 ± 0.014,0.973 ± 0.013,0.973 ± 0.016
Class 6,0.973 ± 0.020,0.984 ± 0.012,0.975 ± 0.013,0.968 ± 0.021,0.977 ± 0.016,0.972 ± 0.020
Class 7,0.987 ± 0.010,0.991 ± 0.007,0.986 ± 0.009,0.975 ± 0.013,0.978 ± 0.014,0.980 ± 0.013
