Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8765467710897985,0.020258574323867497,0.956081081081081,0.03272834157944365,0.939368191721133,0.014637819577429706,0.8108439322338121,0.03599587224718501
2,0.8116006112715983,0.019792934937907545,0.7543103448275862,0.03524513497521324,0.9790105141337536,0.012901158376312635,0.8838615136876007,0.06360666046862724
3,0.8711640442546409,0.04719194917907223,0.8225071225071225,0.06531366216424143,0.9882614942528736,0.007585833481366634,0.9291529260213469,0.04515173509176523
4,0.8582451798241273,0.08721749761877785,0.8144736842105263,0.10652695287930979,0.9901357650065952,0.006726946291792243,0.9103374244434616,0.0682453446198616
5,0.890413009297,0.04373994790920847,0.9391304347826086,0.039848484303963844,0.9730682024306185,0.014379796830469999,0.8497112332112332,0.06840937604773985
6,0.8153224403153245,0.07633797937689943,0.7764705882352941,0.11997692973159492,0.9870590699622956,0.005013822714502554,0.8692668751956678,0.04865103038153535
7,0.9141504448185254,0.04433030288088877,0.9511904761904761,0.04315045134465185,0.9821054955268969,0.009423694791131924,0.8815225861095426,0.06031870319490122
