Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8860288556214654,0.02558807561950324,0.9476726726726727,0.031386499719096905,0.9482516339869281,0.018287493485122493,0.8340384448821639,0.045450424165661925
2,0.7974071422963422,0.03216824264276092,0.7577586206896552,0.046306237546475795,0.9713375630629152,0.015421624618875845,0.8479211506754188,0.0714913571378245
3,0.8993976941790484,0.03623008708147315,0.8873219373219372,0.037383053850060646,0.9841234976119246,0.008781405980515753,0.9127991452991452,0.0466848405559003
4,0.9022891248115895,0.0661068969460345,0.8818421052631578,0.10418826184276794,0.9914342407115047,0.006633960518588036,0.9316226463594883,0.04908303549304406
5,0.9252047266640236,0.030809598150361838,0.9351449275362317,0.03484482659978017,0.9865363685833485,0.00733964790564507,0.9165933414411676,0.04086357634784523
6,0.8748040037129222,0.06750915877939113,0.8529411764705884,0.08422247684280207,0.989639715123586,0.005934151275747424,0.9003279645191411,0.05939563364281973
7,0.9560362789035507,0.025821061234061825,0.9511904761904761,0.030901973606698902,0.9946930405483908,0.0049819465811561355,0.9618147641831852,0.03515310477291852
