Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.873255147362076,0.018059239821956268,0.9203453453453454,0.03056108884386309,0.9497058823529413,0.007955210231321463,0.8314391310443942,0.020941305383824688
2,0.737754111773216,0.03704963732166231,0.7370689655172414,0.0437989282256201,0.9475410934917976,0.01815973209069506,0.7422950244200244,0.059100810689135065
3,0.8644537275367796,0.04590801191715818,0.8306267806267804,0.054274999792452885,0.9834385661050753,0.008836516103718096,0.9028591336200031,0.049537126238158515
4,0.8316305483759988,0.08085453236349532,0.8144736842105263,0.1041536926361744,0.9822365003861429,0.007206166018736939,0.8532779866332497,0.06697628494538199
5,0.8869329969253983,0.037325843413439135,0.8960144927536232,0.03498019063141247,0.9804734264465808,0.010160626439306627,0.8799648612257307,0.05688317057659813
6,0.8219642857142857,0.07033627321691428,0.7823529411764707,0.09131867468388248,0.9870506912442396,0.00766566735332303,0.872008547008547,0.0733002379596691
7,0.9249256540496054,0.032777066450085574,0.9314285714285715,0.04972486659888233,0.9887501452306262,0.007854863820794616,0.9217224137418645,0.05296366552474859
