Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.863677748292883,0.021842492634551704,0.9394144144144144,0.020642369382414084,0.9363997821350762,0.014467979041359305,0.8001988741232928,0.035070450918618254
2,0.801603750595722,0.026209743434938714,0.7646551724137931,0.03298768941866886,0.9713180012475787,0.011482735028924067,0.8451728692763174,0.04941523114323117
3,0.8605809830052735,0.04716482567420712,0.8603988603988604,0.052358905839000304,0.974458615441138,0.01072670277781344,0.8622257223036833,0.053175221522698136
4,0.8477360920641971,0.0779443923458642,0.7994736842105263,0.11559073854148132,0.9901357650065951,0.006068020361548051,0.9128291316526612,0.05601016361658026
5,0.9052191900503649,0.04732917457994641,0.9177536231884057,0.0304024155011568,0.9825095229457647,0.012437137670508547,0.894608329673547,0.06873275076117188
6,0.8119493322660241,0.06357298338937499,0.7647058823529413,0.10188534162169864,0.9877000418935904,0.005394560694063335,0.8744738921209508,0.046240004039816554
7,0.9414981123999843,0.03322126966310748,0.9414285714285713,0.04231401884099631,0.9920396189148366,0.004976022071774226,0.9424606971975393,0.035164417154409384
