Class,FS_PCA_NN,FS_PCA_SVM,RF,FS_PCA_QDA,FS_PCA_KNN,FS_PCA_LR
Class 1,0.901 ± 0.048,0.948 ± 0.031,0.939 ± 0.021,0.948 ± 0.019,0.956 ± 0.033,0.920 ± 0.031
Class 2,0.758 ± 0.044,0.758 ± 0.046,0.765 ± 0.033,0.698 ± 0.064,0.754 ± 0.035,0.737 ± 0.044
Class 3,0.883 ± 0.053,0.887 ± 0.037,0.860 ± 0.052,0.891 ± 0.060,0.823 ± 0.065,0.831 ± 0.054
Class 4,0.841 ± 0.115,0.882 ± 0.104,0.799 ± 0.116,0.825 ± 0.080,0.814 ± 0.107,0.814 ± 0.104
Class 5,0.909 ± 0.057,0.935 ± 0.035,0.918 ± 0.030,0.957 ± 0.034,0.939 ± 0.040,0.896 ± 0.035
Class 6,0.812 ± 0.101,0.853 ± 0.084,0.765 ± 0.102,0.894 ± 0.035,0.776 ± 0.120,0.782 ± 0.091
Class 7,0.936 ± 0.039,0.951 ± 0.031,0.941 ± 0.042,0.980 ± 0.024,0.951 ± 0.043,0.931 ± 0.050
