Class,NN,SVM,RF,QDA,KNN,LR
Class 1,0.955 ± 0.011,0.953 ± 0.013,0.937 ± 0.022,0.951 ± 0.014,0.944 ± 0.016,0.950 ± 0.009
Class 2,0.953 ± 0.020,0.964 ± 0.018,0.976 ± 0.013,0.977 ± 0.013,0.973 ± 0.012,0.948 ± 0.018
Class 3,0.982 ± 0.015,0.984 ± 0.012,0.973 ± 0.010,0.992 ± 0.006,0.987 ± 0.010,0.981 ± 0.012
Class 4,0.983 ± 0.009,0.990 ± 0.008,0.993 ± 0.008,0.994 ± 0.007,0.990 ± 0.006,0.983 ± 0.009
Class 5,0.982 ± 0.008,0.986 ± 0.008,0.982 ± 0.008,0.981 ± 0.011,0.968 ± 0.017,0.979 ± 0.012
Class 6,0.981 ± 0.013,0.986 ± 0.009,0.990 ± 0.007,0.984 ± 0.010,0.984 ± 0.013,0.985 ± 0.010
Class 7,0.989 ± 0.007,0.993 ± 0.005,0.991 ± 0.007,0.978 ± 0.009,0.982 ± 0.008,0.987 ± 0.010
