Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.831714704074819,0.05915815978592963,0.8647058823529411,0.07463869141440893,0.9637254901960786,0.021049912307435192,0.8082294696187884,0.0829991035129429
2,0.7345673347143936,0.07915878554223305,0.7352941176470588,0.09575776821235117,0.9558823529411764,0.017121812937816658,0.7399111230187082,0.08842571730438359
3,0.8518987140310671,0.06230360831384422,0.8117647058823529,0.10120382667108971,0.9852941176470589,0.010046030162705503,0.9068784565108092,0.06472314803042317
4,0.8660673008206216,0.030788203794651123,0.8411764705882353,0.059116915418358174,0.9833333333333334,0.008823529411764727,0.897566795949149,0.044686844071221164
5,0.8855429039252567,0.047277556063945805,0.9058823529411766,0.06550311015094146,0.9764705882352942,0.01531421505079736,0.8715766019326392,0.06994868910106292
6,0.8386848666144331,0.04365321401190555,0.8411764705882353,0.08744746321952061,0.9725490196078432,0.0195095575903259,0.8497119014830012,0.08290220372567107
7,0.9358234342057872,0.0433947591851374,0.9470588235294117,0.061413567699473835,0.9872549019607844,0.009852819236393041,0.9278624871001032,0.051810543716641885
