Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8595431272211458,0.03762727469129006,0.9117647058823529,0.05423261445466405,0.9647058823529413,0.015929487067913643,0.8179685787358422,0.0652245203109382
2,0.7550963372000636,0.07491536774665646,0.6764705882352942,0.08422247684280205,0.9813725490196079,0.011135114403529952,0.8603163503163505,0.08066780215239226
3,0.9077284946236558,0.05895759201831958,0.8588235294117647,0.08803899733585745,0.9950980392156863,0.006576670522058207,0.9673076923076923,0.04320508065127109
4,0.8709219358690994,0.049497366562556475,0.8058823529411765,0.07913896498278651,0.9931372549019608,0.0076571075253986905,0.9549404761904763,0.04939547388310041
5,0.9223870559474274,0.03793787279758425,0.9647058823529413,0.03901911518065178,0.9784313725490197,0.013725490196078426,0.8871942110177404,0.06795324564275843
6,0.8773978968715811,0.0478581330595001,0.9294117647058824,0.051281164041654996,0.9676470588235295,0.02058823529411766,0.8369578111946533,0.08215787651510645
7,0.9211079705816548,0.034035347249170525,0.9823529411764707,0.0269563276173873,0.9745098039215687,0.012555145563593814,0.8695071010860485,0.06120149026163081
