Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8289028413641416,0.07422603514204647,0.8823529411764707,0.09112901991076275,0.9588235294117646,0.018498002219718816,0.7861505532800458,0.08155684770193673
2,0.7967658906558338,0.09971607478700532,0.7470588235294118,0.1262994738446111,0.9803921568627452,0.014541565660971882,0.8688842203548086,0.09407507700451188
3,0.8265097180244988,0.06274402983540064,0.8294117647058823,0.09282196375329117,0.9705882352941175,0.01753778805882188,0.8325304068996019,0.07948743697268053
4,0.8759142584142584,0.041376878947846786,0.8647058823529411,0.08339674634563425,0.9823529411764707,0.007336583111321475,0.8934480431848855,0.035880383755204505
5,0.918718062982769,0.053214102076959764,0.9176470588235295,0.04705882352941178,0.9862745098039216,0.014002800840280117,0.9223770209838321,0.07585369621936744
6,0.8463078191303997,0.03977791692303429,0.8470588235294118,0.07979211744853257,0.9745098039215687,0.013298686241422093,0.854632253711201,0.06810737326972505
7,0.9333892496392497,0.038689591080603276,0.9470588235294117,0.0488624933112828,0.9862745098039216,0.008985442539129116,0.9221125730994153,0.05030877064590285
