Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.7984620094062819,0.07360295561789547,0.8294117647058823,0.09282196375329116,0.9588235294117646,0.016867304445181613,0.774490850566702,0.07912004867536047
2,0.700719936557223,0.11975239639551835,0.6764705882352942,0.11542009923734457,0.9568627450980394,0.02674153273918796,0.7374461842766796,0.1565913888874682
3,0.8240109481113376,0.0806461892239811,0.7823529411764706,0.1290100717615371,0.9823529411764707,0.012245094114506687,0.8865234400102822,0.06741777168141615
4,0.8547889158235709,0.04600776500755639,0.8529411764705882,0.054232614454664055,0.9754901960784315,0.019730011566174616,0.8660382574082265,0.09545036938760094
5,0.8692403580251877,0.05314569720943873,0.8941176470588236,0.06335488008393535,0.9725490196078432,0.01568627450980393,0.8501005577669665,0.07218966107821069
6,0.8211683461968091,0.06694757568791727,0.8176470588235294,0.10989142171923177,0.9715686274509803,0.02030619135020389,0.8428508211064747,0.10192116246226336
7,0.9114368302603598,0.06322733955052441,0.9352941176470588,0.06681068642117971,0.9803921568627452,0.013153341044116414,0.8906789645682835,0.07129169916901752
