Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8717393460684256,0.03603052226617871,0.9529411764705882,0.05128116404165499,0.9607843137254901,0.01518816998512712,0.8070267804091331,0.05843134810984728
2,0.7810573330831951,0.09922182573476143,0.7588235294117647,0.1160181348430354,0.969607843137255,0.020774137353350094,0.8149465811965813,0.11661670498495158
3,0.8756482413473025,0.06068084243701599,0.8411764705882353,0.09131867468388248,0.9872549019607844,0.010784313725490205,0.9207040508511097,0.06323480799178438
4,0.8985489031812561,0.020701439404214376,0.8882352941176469,0.06141356769947384,0.9852941176470589,0.010961117536763685,0.9162396800825594,0.056751747825443004
5,0.92223000683527,0.038788787683701954,0.935294117647059,0.0554940066591565,0.9843137254901961,0.013298686241422115,0.9143337510442773,0.06414507072947745
6,0.8781302622763724,0.04129692863963285,0.8588235294117647,0.08803899733585745,0.9843137254901961,0.011764705882352944,0.9085787621391337,0.061758546193094496
7,0.943614081996435,0.03929966700999165,0.9411764705882353,0.05261336417646565,0.9911764705882353,0.006862745098039226,0.9475408496732026,0.03940718578767135
