Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8374218562246198,0.03358817934318405,0.9470588235294117,0.0488624933112828,0.9470588235294117,0.017093721347218323,0.7546491895281099,0.06117698762768503
2,0.7983063294980131,0.08970434316604452,0.7411764705882352,0.12394886768062045,0.9823529411764707,0.01372549019607845,0.8809068627450982,0.08526329522536309
3,0.848643971897587,0.05844204936460626,0.7588235294117648,0.09282196375329116,0.996078431372549,0.0065031858634419645,0.9731410256410257,0.043327311446243265
4,0.8931347460782944,0.026559815389827737,0.8647058823529411,0.0647058823529412,0.9882352941176471,0.0105591466806559,0.9310004177109441,0.05653028971918502
5,0.8916565393345579,0.04869128470670492,0.9352941176470588,0.0411764705882353,0.9725490196078432,0.013006371726883924,0.8532864022802104,0.06378828511903695
6,0.8470180049212134,0.04838292975731016,0.8352941176470587,0.08645257915705333,0.9774509803921569,0.01583872002098386,0.8709181040837386,0.07736157981272117
7,0.9255716276768908,0.03458411677617427,0.9705882352941178,0.02941176470588236,0.9784313725490197,0.013725490196078438,0.8879156223893065,0.06738864014394341
