Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8648781114625864,0.031518826388479394,0.9009009009009009,0.047902369245389764,0.9511873638344227,0.01246600553101543,0.8331678864605694,0.03546919901938116
2,0.7820120710910865,0.034243511244133634,0.7580049261083743,0.044380279261327905,0.9636255567593597,0.01709266763491115,0.8133035038424843,0.06798327941650473
3,0.8800139140396833,0.0329722940749394,0.882905982905983,0.053074101525675266,0.977217236130793,0.01242199297669237,0.8811880341160097,0.052465820147094326
4,0.8552042448525276,0.08628668353335252,0.8405263157894737,0.11545525928907235,0.9848681932398845,0.00778327328654893,0.8753598830836682,0.06879604475674012
5,0.899426922284065,0.04121940713556121,0.9090579710144928,0.056560048332925,0.982477779793216,0.01008856383089594,0.8932247752247753,0.05645066456489584
6,0.8466454540509046,0.054394015973641664,0.8117647058823529,0.10120382667108972,0.9889861751152074,0.0065184986032119354,0.8954960317460318,0.05654163502172276
7,0.9303155863141832,0.03270386969198375,0.9361904761904762,0.03893130178279942,0.9894079818752178,0.009902612270800908,0.9284744965179748,0.06431451896080403
