Class,F1_mean,F1_std,Recall_mean,Recall_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std
1,0.8949968102073365,0.024009797266841156,0.9477477477477476,0.019061382669739755,0.9541394335511983,0.011381670020802875,0.8482538557113145,0.03321067650828744
2,0.7702845434254979,0.06172029545697418,0.6976600985221676,0.06361704693881022,0.977636330805345,0.011167385922642117,0.8616692285170545,0.06739124411888191
3,0.9210756360599393,0.043097299345990235,0.8905982905982907,0.06023738022291743,0.9924137274969821,0.005728737708012799,0.9553304955913651,0.033933442508069324
4,0.880012458278712,0.06378218376516974,0.8247368421052631,0.07950853192079102,0.9940875472996215,0.0061965846306627085,0.9463398692810457,0.05706780694279867
5,0.910126754380682,0.035545647631482644,0.9565217391304348,0.03367811605397756,0.9771041175403592,0.01171555801667738,0.8704196418274378,0.05791020949901848
6,0.887024535039241,0.03028369386448072,0.8941176470588237,0.03529411764705884,0.986401340594889,0.007905559144840878,0.8835173718610252,0.0608562986819766
7,0.9216203015957765,0.048798451523295226,0.9804761904761905,0.023923536546819966,0.9794915185314279,0.013976868940243775,0.8727410230671101,0.0799681329194277
